Variables,stage_1
Intercept,
(Intercept),-0.158 (-0.933~0.617)
Age,
age,0.001*** (0.001~0.002)
Diabete,
diabPre-diabete,0.069 (-0.695~0.833)
diabdiabete,0.067 (-0.706~0.84)
diabUnknown,0.074 (-0.689~0.837)
BMI,
bmi,0.006*** (0.003~0.008)
Smoke,
smokeSmoke,0.037 (-0.008~0.081)
smokeUnknown,-0.017 (-0.053~0.018)
Country,
countryUnited States,0.018 (-0.024~0.06)
raceNon-Hispanic Black,0.019 (-0.077~0.115)
Race,
raceHispanic,0.003 (-0.089~0.095)
raceOther,0.028 (-0.062~0.117)
Education,
educationmore than high school,0.041** (0.011~0.071)
educationRefused/Missing,-0.182 (-0.564~0.2)
Gender,
genderFemale,0.074*** (0.044~0.105)
Activity,
sedentary,-0.113 (-0.316~0.091)
activitycCounts,-0.0 (-0.0~0.0)
