Variables,stage_3
Intercept,
(Intercept),-0.016 (-0.378~0.345)
Age,
age,0.002*** (0.001~0.002)
Diabete,
diabPre-diabete,0.002 (-0.355~0.358)
diabdiabete,-0.025 (-0.385~0.336)
diabUnknown,0.005 (-0.351~0.361)
BMI,
bmi,-0.001 (-0.002~0.0)
Smoke,
smokeSmoke,0.013 (-0.008~0.034)
smokeUnknown,0.011 (-0.006~0.027)
Country,
countryUnited States,0.002 (-0.018~0.021)
raceNon-Hispanic Black,0.01 (-0.035~0.055)
Race,
raceHispanic,-0.03 (-0.072~0.013)
raceOther,-0.0 (-0.042~0.042)
Education,
educationmore than high school,-0.007 (-0.021~0.007)
educationRefused/Missing,-0.099 (-0.277~0.079)
Gender,
genderFemale,-0.014* (-0.028~0.0)
Activity,
sedentary,0.061 (-0.034~0.156)
activitycCounts,-0.0* (-0.0~0.0)
