Variables,stage_2
Intercept,
(Intercept),-0.25 (-1.047~0.547)
Age,
age,0.009*** (0.008~0.01)
Diabete,
diabPre-diabete,-0.01 (-0.796~0.776)
diabdiabete,0.119 (-0.676~0.914)
diabUnknown,0.001 (-0.784~0.785)
BMI,
bmi,0.006*** (0.003~0.008)
Smoke,
smokeSmoke,-0.029 (-0.074~0.017)
smokeUnknown,0.024 (-0.012~0.061)
Country,
countryUnited States,0.031 (-0.012~0.074)
raceNon-Hispanic Black,0.022 (-0.077~0.12)
Race,
raceHispanic,-0.031 (-0.125~0.063)
raceOther,-0.006 (-0.098~0.086)
Education,
educationmore than high school,-0.046** (-0.077~-0.015)
educationRefused/Missing,0.185 (-0.208~0.578)
Gender,
genderFemale,0.003 (-0.029~0.034)
Activity,
sedentary,-0.175 (-0.384~0.034)
activitycCounts,-0.0 (-0.0~0.0)
