"","Estimate","Std. Error","t value","Pr(>|t|)","LB","UB"
"(Intercept)",1.64432789860484,0.438728846869593,3.74793659076081,0.000181869788014516,0.766870204865657,2.52178559234403
"age",-0.0105993014123992,0.000496121146352903,-21.3643411298168,5.42259470962101e-94,-0.011591543705105,-0.0096070591196934
"diabPre-diabete",-0.291364412905043,0.431561080500529,-0.675140614086692,0.499641743804502,-1.1544865739061,0.571757748096014
"diabdiabete",-0.199600052235477,0.43545406320438,-0.458372235102547,0.646720330924556,-1.07050817864424,0.671308074173282
"diabUnknown",-0.239858903619402,0.430772012718492,-0.556811716029818,0.577700231837338,-1.10140292905639,0.621685121817582
"bmi",-0.0126681601900774,0.00133122129531282,-9.51619406531539,3.71659354911803e-21,-0.015330602780703,-0.0100057175994517
"smokeSmoke",-0.0194228781949849,0.026402762574844,-0.735638103775192,0.462012102689099,-0.0722284033446728,0.0333826469547031
"smokeUnknown",-0.0395923893233445,0.0204543731399542,-1.93564422886211,0.0530110602376998,-0.080501135603253,0.00131635695656396
"countryUnited States",-0.0386274042763412,0.0254503797886796,-1.5177535501267,0.129188550763052,-0.0895281638537005,0.012273355301018
"raceNon-Hispanic Black",-0.13879081251442,0.0533098395190753,-2.6034745886781,0.00927675918401429,-0.245410491552571,-0.0321711334762696
"raceHispanic",-0.0317736636742478,0.0522841315751984,-0.607711416771816,0.543427788834743,-0.136341926824645,0.0727945994761489
"raceOther",0.0292870612828658,0.0505444924573317,0.579431306142587,0.562344435842284,-0.0718019236317976,0.130376046197529
"educationmore than high school",0.0252415422531408,0.0174909073937023,1.44312365762277,0.149096628550405,-0.00974027253426377,0.0602233570405454
"educationRefused/Missing",-0.353340615988032,0.431869408573101,-0.818165419855673,0.413331814655865,-1.21707943313423,0.510398201158169
"genderFemale",-0.134799200474406,0.0174314906167449,-7.73308510661256,1.4496499490908e-14,-0.169662181707896,-0.0999362192409167
"sedentary",0.1906061374175,0.120934416090146,1.57611161139953,0.115112171605818,-0.0512626947627911,0.432474969597791
"activitycCounts",-8.1970985131957e-05,7.61813437927804e-05,-1.07599815192188,0.282020062828777,-0.000234333672717518,7.03917024536039e-05
