"","Estimate","Std. Error","t value","Pr(>|t|)","LB","UB"
"(Intercept)",-0.0376923382288639,0.358990560366507,-0.104995346368947,0.91638696313135,-0.755673458961878,0.68028878250415
"age",-0.000128783959300093,0.000405951898558066,-0.317239455604301,0.751085381933198,-0.000940687756416226,0.000683119837816039
"diabPre-diabete",0.0906933029385476,0.353125524402342,0.256830210990962,0.79732856977504,-0.615557745866136,0.796944351743232
"diabdiabete",0.0825055646884511,0.356310963546188,0.231554942534784,0.816900494925657,-0.630116362403924,0.795127491780826
"diabUnknown",0.112837841595345,0.352479868464143,0.320125634655425,0.748896793285054,-0.592121895332942,0.817797578523631
"bmi",-0.000296685871343896,0.00108927389248746,-0.272370313279413,0.785357223249707,-0.00247523365631882,0.00188186191363103
"smokeSmoke",-0.00765132089181631,0.0216041014845427,-0.354160569801557,0.723245011294691,-0.0508595238609017,0.0355568820772691
"smokeUnknown",0.006835309001378,0.0167368225906522,0.408399441671542,0.683011428926598,-0.0266383361799264,0.0403089541826824
"countryUnited States",0.0210460396586402,0.0208248127905622,1.01062323442246,0.312283433695057,-0.0206035859224842,0.0626956652397647
"raceNon-Hispanic Black",0.0554564903099552,0.0436208589851167,1.2713296253262,0.203716181270498,-0.0317852276602781,0.142698208280189
"raceHispanic",0.0262178644039933,0.0427815718669523,0.612830788114307,0.540037612574297,-0.0593452793299114,0.111781008137898
"raceOther",0.0333961104887943,0.0413581094568226,0.807486389668259,0.419454367327287,-0.0493201084248508,0.116112329402439
"educationmore than high school",0.00566013874290601,0.0143119621410494,0.395483071232538,0.692516306195085,-0.0229637855391927,0.0342840630250047
"educationRefused/Missing",0.884051076251641,0.353377814326607,2.5017164077951,0.0124154906385109,0.177295447598428,1.59080670490485
"genderFemale",0.0469887677466264,0.0142633442710203,3.29437240339886,0.000998602592394854,0.0184620792045858,0.075515456288667
"sedentary",-0.0556042681734991,0.0989547737960846,-0.561915974747034,0.574217894113285,-0.253513815765668,0.14230527941867
"activitycCounts",0.000111097895574172,6.23355028801485e-05,1.78225714786931,0.0748147939620846,-1.35731101861246e-05,0.000235768901334469
