"","Estimate","Std. Error","t value","Pr(>|t|)","LB","UB"
"(Intercept)",-0.37643123996565,0.383325149973008,-0.982015503006145,0.326176392130701,-1.14308153991167,0.390219059980366
"age",0.00798429234420613,0.000433469816693031,18.4194885935053,1.22964106440872e-71,0.00711735271082007,0.00885123197759219
"diabPre-diabete",0.132487464194014,0.377062545774543,0.351367341250681,0.725339011071966,-0.621637627355071,0.8866125557431
"diabdiabete",0.172574811939393,0.380463913588499,0.453590487233557,0.650158478864372,-0.588353015237604,0.93350263911639
"diabUnknown",0.0620573424524165,0.376373123303132,0.164882502522464,0.869048274148309,-0.690688904153848,0.814803589058681
"bmi",0.00578930462035652,0.0011631115809094,4.97742840444428,6.83071092806221e-07,0.00346308145853773,0.00811552778217531
"smokeSmoke",0.0239803767473201,0.023068560446658,1.03952636328437,0.298649058637987,-0.022156744145996,0.0701174976406362
"smokeUnknown",0.0325538366247268,0.0178713474334351,1.82156587498392,0.0686267016748286,-0.00318885824214327,0.068296531491597
"countryUnited States",-0.009907685168397,0.0222364467688294,-0.445560627172026,0.655948834621481,-0.0543805787060559,0.0345652083692619
"raceNon-Hispanic Black",0.107401143177265,0.0465777492738255,2.30584656518858,0.0211913727745087,0.0142456446296143,0.200556641724916
"raceHispanic",0.0515904366397,0.0456815701093586,1.12934902447959,0.258846615805656,-0.0397727035790173,0.142953576858417
"raceOther",-0.00245896506931908,0.0441616166563016,-0.0556810473777843,0.955599839765801,-0.0907821983819224,0.0858642682432842
"educationmore than high school",-0.0297512676122235,0.0152821150186366,-1.94680301620173,0.0516574479589315,-0.0603154976494967,0.000812962425049649
"educationRefused/Missing",-0.34661673289635,0.377331937462605,-0.918598980057714,0.358383870836823,-1.10128060782156,0.40804714202886
"genderFemale",0.030647619368841,0.0152302015301559,2.01229243803232,0.04428396659372,0.000187216308529178,0.0611080224291528
"sedentary",-0.146088012378064,0.10566253738595,-1.38259042412026,0.166899886264144,-0.357413087149964,0.0652370623938362
"activitycCounts",-0.000102676704295826,6.65609869122484e-05,-1.54259588174663,0.12304097965875,-0.000235798678120323,3.04452695286709e-05
