Variables,0506_sy_lm_model_coef.cs
Intercept,
(Intercept),84.737*** (49.967~119.508)
Age,
age,0.562*** (0.523~0.602)
Diabete,
diabPre-diabete,6.455 (-27.747~40.658)
diabdiabete,4.038 (-30.473~38.549)
diabUnknown,2.461 (-31.678~36.601)
BMI,
bmi,0.405*** (0.3~0.511)
Smoke,
smokeSmoke,1.829 (-0.264~3.921)
smokeUnknown,2.701*** (1.08~4.322)
Country,
countryUnited States,1.716 (-0.301~3.733)
raceNon-Hispanic Black,5.487** (1.263~9.712)
Race,
raceHispanic,0.375 (-3.769~4.518)
raceOther,-0.697 (-4.703~3.309)
Education,
educationmore than high school,-2.208** (-3.594~-0.821)
educationRefused/Missing,-12.979 (-47.206~21.248)
Gender,
genderFemale,2.542*** (1.161~3.924)
Activity,
sedentary,-11.576* (-21.16~-1.991)
activitycCounts,-0.002 (-0.008~0.004)
